StateAbbr,Lat,Long
ND,46.8652458,96.8289882
OH,41.0801445,81.5219214
OH,40.8080193,81.3676595
OH,39.1411747,84.5060005
OH,41.4765346,81.6805495
OH,39.98595,82.9851739
OH,39.779768,84.1997931
OH,41.38424,81.7285992
OH,41.66374,83.5823818
OH,41.0993287,80.6463187
OK,36.0366325,95.7809572
OK,35.6689351,97.4159205
OK,34.6170565,98.4203935
OK,35.2335033,97.3470414
OK,35.4675643,97.5137616
OK,36.1284213,95.9036195
OR,45.4795766,122.814973
OR,44.0561827,121.30869
OR,44.0559363,123.117328
OR,45.5024257,122.441469
OR,45.529028,122.937442
OR,42.3371988,122.853626
OR,45.5371807,122.650033
OR,44.9232732,123.024867
PA,40.5960996,75.4755374
PA,40.6266403,75.3679048
PA,42.1164699,80.0730359
PA,40.0093148,75.1333889
PA,40.4396297,79.9762615
PA,40.3399679,75.9266129
PA,41.4043729,75.6649127
RI,41.7658017,71.4861485
RI,41.8744535,71.3743581
RI,41.8234805,71.4218129
RI,41.7064727,71.4345615
SC,32.8136962,79.9673819
SC,34.036607,80.9037853
SC,32.8538275,79.8230343
SC,32.9100915,80.0738525
SC,34.9403611,81.0249178
SD,44.070501,103.218361
SD,43.5388068,96.7313496
TN,35.0662472,85.2466772
TN,36.5696832,87.3432372
TN,35.9690595,83.9495877
TN,35.1046295,89.9789061
TN,35.8507782,86.4086282
TN,36.171223,86.7845945
TX,32.4546511,99.7383044
TX,33.1087043,96.6735374
TX,35.2003836,101.828293
TX,32.6998369,97.1250896
TX,30.306861,97.7554771
TX,29.7571153,94.9676276
TX,30.0844166,94.1441072
TX,25.9981978,97.4566344
TX,30.6665688,96.3663819
TX,32.9884385,96.9001374
TX,30.5867616,96.2957959
TX,27.7291588,97.4019095
TX,32.7939804,96.7656929
TX,33.215616,97.1412439
TX,26.3155844,98.163713
TX,31.8481124,106.432022
TX,32.7801928,97.3470323
TX,33.1507545,96.8201336
TX,32.91008,96.6304259
TX,32.686765,97.0209312
TX,29.7806691,95.3860034
TX,32.8583808,96.9703058
TX,31.0757648,97.7285651
TX,27.5482572,99.4867797
TX,29.4872996,95.1089859
TX,33.0451992,96.9829273
TX,32.5192858,94.7621976
TX,33.5666251,101.886336
TX,26.218629,98.2451705
TX,33.1988887,96.667703
TX,32.764131,96.5927445
TX,32.0285948,102.109701
TX,26.2033406,98.3227705
TX,29.5636747,95.5382067
TX,31.8794565,102.344465
